6	18	-0.912	0.149
6	30	-0.958	0.143
6	15	-0.854	0.140
6	5	-0.693	0.180
6	4	-0.683	0.175
6	7	-0.724	0.167
6	6	-0.701	0.179
6	9	-0.769	0.158
6	8	-0.743	0.162
9	11	-0.755	0.134
9	10	-0.743	0.137
9	12	-0.778	0.135
9	15	-0.812	0.127
9	14	-0.806	0.134
9	22	-0.902	0.135
9	16	-0.838	0.133
9	18	-0.867	0.134
9	30	-0.929	0.131
9	5	-0.723	0.148
9	8	-0.722	0.143
9	7	-0.719	0.142
9	6	-0.717	0.146
9	9	-0.734	0.142
9	20	-0.864	0.124
9	4	-0.727	0.153
8	11	-0.764	0.137
8	10	-0.750	0.140
8	12	-0.788	0.139
8	20	-0.872	0.129
8	14	-0.816	0.138
8	22	-0.909	0.140
8	16	-0.849	0.138
8	18	-0.877	0.140
8	30	-0.933	0.137
8	5	-0.710	0.153
8	8	-0.720	0.149
8	7	-0.712	0.149
8	6	-0.706	0.153
8	9	-0.738	0.146
8	15	-0.822	0.131
8	4	-0.710	0.154
