Motif	Sig	p-value	# sample	# background	Enrichment
GimmeMotifs_7	23.9570498875	1.41936660194e-24	174	810	2.148
GimmeMotifs_6	68.9229698906	2.68665949314e-69	430	2035	2.113
GimmeMotifs_5	57.9434740982	2.05021028043e-58	391	1887	2.072
GimmeMotifs_4	74.4090676638	1.7544655702e-74	312	1134	2.751
GimmeMotifs_3	72.895688938	3.81445342749e-73	423	1928	2.194
GimmeMotifs_2	23.5414573295	3.23366624311e-24	352	2220	1.586
GimmeMotifs_1	107.071526746	7.63336032767e-107	336	1014	3.314
GimmeMotifs_9	29.3426587341	6.81447692069e-30	344	2014	1.708
GimmeMotifs_8	21.4535976934	3.51886257706e-22	276	1634	1.689
