motif	factors
bZIP_M5866_1.01	MAF,MAFA,MAFB
bZIP_Average_134	ATF1,ATF2,ATF7,CREB1,CREB5,CREB5.2
bZIP_M0304_1.01	JUN,JUNB,JUND.2
bZIP_Average_147	XBP1
bZIP_M0305_1.01	JUN,JUNB,JUND.2
bZIP_M0287_1.01	ATF1,CREB1
bZIP_Average_152	MAFG,MAFK
bZIP_Average_151	ATF4,ATF5,ATF5.2,DBP,HLF,NFIL3,TEF,THIBZ
bZIP_M2901_1.01	CEBPA,CEBPB,CEBPD
bZIP_M6329_1.01	DBP,HLF,TEF
bZIP_M5973_1.01	ATF5,ATF5.2
bZIP_Average_17	CREB3,CREB3L1,CREB3L2,CREB3L3
C2H2_ZF_M4354_1.01	ZFP143,ZFP523,ZNF143,ZNF76
C2H2_ZF_M5841_1.01	HIC1,HIC2
C2H2_ZF_Average_96	PRDM1,ZNF683
C2H2_ZF_M4323_1.01	BCL11A,BCL11B
C2H2_ZF_Average_187	HINFP
C2H2_ZF_M0407_1.01	ZFP128
C2H2_ZF_M5334_1.01	HINFP
C2H2_ZF_M5333_1.01	HINFP
C2H2_ZF_M5778_1.01	ZBTB49
C2H2_ZF_M5799_1.01	ZFP784,ZNF784
C2H2_ZF_M6360_1.01	ZBTB4
C2H2_ZF_M5793_1.01	ZFP524,ZNF524
C2H2_ZF_M5794_1.01	ZFP524,ZNF524
C2H2_ZF_M5930_1.01	ZBTB47,ZFP652,ZNF652
C2H2_ZF_Average_167	ZFA,ZFX,ZFY,ZFY1
C2H2_ZF_Average_137	ZFA,ZFP711,ZFX,ZFY,ZFY1
C2H2_ZF_M0392_1.01	ZFP410,ZNF410
C2H2_ZF_M5791_1.01	ZNF410
C2H2_ZF_Average_191	ZFP143,ZFP523,ZNF143,ZNF76
C2H2_ZF_Average_177	HIC1,HIC2
C2H2_ZF_M0393_1.01	SNAI1,SNAI3
C2H2_ZF_M5798_1.01	ZNF75A,ZNF75D
C2H2_ZF_M5789_1.01	ZFP282,ZNF282
C2H2_ZF_Average_185	IKZF1,IKZF4
C2H2_ZF_Average_181	IKZF1,IKZF4
C2H2_ZF_M6093_1.01	HIC1,HIC2
C2H2_ZF_M6364_1.01	HIVEP1,HIVEP2,HIVEP3
C2H2_ZF_M0402_1.01	AL662834.13,AL844853.8,CR388219.4,CR759784.3,ZBTB12
C2H2_ZF_M0360_1.01	BCL6B
C2H2_ZF_Average_202	BCL6
C2H2_ZF_Average_184	ZSCAN4,ZSCAN4-PS2,ZSCAN4C,ZSCAN4F
C2H2_ZF_M0367_1.01	ZSCAN10
C2H2_ZF_M1820_1.01	ZFP354C,ZNF354C
C2H2_ZF_Average_156	MTF1
C2H2_ZF_M0376_1.01	MTF1
C2H2_ZF_M6145_1.01	KLF12,KLF17,KLF2,KLF3,KLF4,KLF5,KLF6,KLF7,KLF8,LOC422310
C2H2_ZF_M5800_1.01	ZSCAN4
C2H2_ZF_M0401_1.01	ZFP161
C2H2_ZF_M0395_1.01	ZFP3
C2H2_ZF_Average_122	ZFP148,ZFP281,ZNF148,ZNF281
C2H2_ZF_M6372_1.01	ZFP219,ZNF219
C2H2_ZF_M6358_1.01	ZBTB7B
C2H2_ZF_Average_221	GLI1.2,KLF1,KLF10,KLF11,KLF12,KLF13,KLF14,KLF16,KLF17,KLF2,KLF3,KLF4,KLF5,KLF6,KLF7,KLF8,KLF9,LOC422310,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,WT1
C2H2_ZF_M6142_1.01	KLF12,KLF17,KLF2,KLF3,KLF4,KLF5,KLF6,KLF7,KLF8,LOC422310
C2H2_ZF_M6144_1.01	KLF12,KLF17,KLF2,KLF3,KLF4,KLF5,KLF6,KLF7,KLF8,LOC422310
C2H2_ZF_Average_180	EGR1,EGR2,EGR3,EGR4
C2H2_ZF_M6019_1.01	EGR1,EGR2,EGR3,EGR4
C2H2_ZF_Average_216	EGR1,EGR2,EGR3,EGR4
C2H2_ZF_M0382_1.01	ZBTB1
C2H2_ZF_M6302_1.01	GLI1.2,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9
C2H2_ZF_Average_204	GLI1,GLI1.1,GLI2,GLI3,ZBTB7A,ZBTB7B,ZBTB7C
C2H2_ZF_M5308_1.01	GLI1,GLI1.1,GLI2,GLI3
C2H2_ZF_Average_207	ZIC1,ZIC2,ZIC3,ZIC4,ZIC5
C2H2_ZF_Average_141	GLIS1,GLIS2,GLIS3
C2H2_ZF_Average_123	ZIC1,ZIC2,ZIC3,ZIC4,ZIC5
C2H2_ZF_Average_205	PLAGL1,ZBTB7B,ZFP202,ZNF202
C2H2_ZF_M6240_1.01	PLAG1
C2H2_ZF_Average_210	MZF1,ZSCAN10
C2H2_ZF_Average_219	GLIS2,GLIS3,PATZ1,ZIC1,ZIC2,ZIC3,ZIC4,ZIC5
C2H2_ZF_Average_211	ZFP148,ZFP281,ZFP740,ZNF148,ZNF281,ZNF740
C2H2_ZF_M6241_1.01	PLAGL1
C2H2_ZF_M4510_1.01	ZBTB7A,ZBTB7C
C2H2_ZF_Average_179	MZF1
C2H2_ZF_M6239_1.01	PLAG1
C2H2_ZF_M6020_1.01	EGR1,EGR2,EGR4
C2H2_ZF_M6155_1.01	MAZ
C2H2_ZF_M6140_1.01	KLF15,KLF15.2
C2H2_ZF_Average_222	ZNF263
C2H2_ZF_Average_172	ZIC1,ZIC2,ZIC3,ZIC4,ZIC5
C2H2_ZF_M6357_1.01	ZBTB7A,ZBTB7C
C2H2_ZF_M0369_1.01	ZSCAN10
C2H2_ZF_M6378_1.01	ZNF589
C2H2_ZF_Average_206	RREB1
C2H2_ZF_Average_166	OSR1,OSR2
C2H2_ZF_M6359_1.01	ZBTB4
C2H2_ZF_M0366_1.01	ZFP263
C2H2_ZF_M0397_1.01	ZFP691,ZNF691
C2H2_ZF_Average_200	CTCF,CTCFL
C2H2_ZF_Average_124	INSM1
C2H2_ZF_Average_217	ZNF423
C2H2_ZF_M1842_1.01	PLAG1
C2H2_ZF_Average_194	MBTPS2,YY1,YY2
C2H2_ZF_M5776_1.01	MBTPS2,YY1,YY2
C2H2_ZF_Average_209	MBTPS2,YY1
C2H2_ZF_M3979_1.01	MBTPS2,YY1
C2H2_ZF_Average_83	ZBTB6
C2H2_ZF_M4502_1.01	GLI1.2,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9
C2H2_ZF_Average_190	ZFP110,ZFP369,ZNF274
C2H2_ZF_M4475_1.01	ZFP110,ZFP369,ZNF274
C2H2_ZF_Average_154	REST
C2H2_ZF_M4537_1.01	REST
C2H2_ZF_Average_188	SNAI1,SNAI2,SNAI3
C2H2_ZF_Average_82	SCRT1,SCRT2
C2H2_ZF_Average_77	ZBTB42,ZFP238,ZNF238,ZNF238.2
C2H2_ZF_M5792_1.01	ZSCAN16
C2H2_ZF_M5569_1.01	PRDM4
C2H2_ZF_M5122_1.01	BCL6B
C2H2_ZF_M5795_1.01	ZNF713
C2H2_ZF_M2193_1.01	ZBTB33
C2H2_ZF_M6139_1.01	ZBTB33
C2H2_ZF_M6374_1.01	ZNF333
C2H2_ZF_M6376_1.01	ZFP384,ZNF384
C2H2_ZF_Average_174	GFI1,GFI1B
C2H2_ZF_M6363_1.01	HIVEP1,HIVEP2,HIVEP3
C2H2_ZF_M0364_1.01	ZFP187
C2H2_ZF_M0409_1.01	ZSCAN20
C2H2_ZF_M0380_1.01	ZFP300
C2H2_ZF_M0406_1.01	ZFP637,ZNF32
C2H2_ZF_M0405_1.01	ZFP105,ZNF35
C2H2_ZF_Average_218	DNAJC21,ZKSCAN1
C2H2_ZF_M0404_1.01	ZKSCAN5
C2H2_ZF_M5955_1.01	BCL6
C2H2_ZF_M0384_1.01	KLF10,KLF11,KLF13,KLF14,KLF9
C2H2_ZF_M6221_1.01	OVOL1
C2H2_ZF_M6016_1.01	E4F1
C2H2_ZF_M2812_1.01	KLF12,KLF17,KLF2,KLF3,KLF4,KLF5,KLF6,KLF7,KLF8,LOC422310
C2H2_ZF_M0411_1.01	ZBTB3
C2H2_ZF_M5790_1.01	ZKSCAN3,ZKSCAN4
C2H2_ZF_Average_220	LOC100485690,MECOM,PRDM16
C2H2_ZF_M3098_1.01	LOC100485690,MECOM,PRDM16
C2H2_ZF_M5786_1.01	ZNF232
C2H2_ZF_Homeodomain_Average_6	ZEB1
C2H2_ZF_Homeodomain_M2825_1.01	ZEB1
CBF_NF-Y_Average_2	NFYA
CENPB_M5139_1.01	CENPB
CSD_M6356_1.01	CSDA,YBX1,YBX2
CSL_M6318_1.01	RBPJ,RBPSUH-RS3
CUT_Homeodomain_Average_10	CUX1,CUX2
CUT_Homeodomain_Average_6	CUX1,CUX2
CUT_Homeodomain_Average_5	CUX1,CUX2
CUT_Homeodomain_M5151_1.01	CUX1,CUX2
CUT_Homeodomain_Average_9	ONECUT1,ONECUT1.2,ONECUT2,ONECUT3
CUT_Homeodomain_M2889_1.01	CUX1,CUX2
CUT_Homeodomain_M2892_1.01	CUX1,CUX2
CxC_M0529_1.01	LIN54
CxxC_Average_4	MLL,TET1
CxxC_Average_2	CGBP,CXXC1,DNMT1
CxxC_Average_3	KDM2B
CxxC_M6004_1.01	CXXC1
CxxC_M0548_1.01	MBD1
CxxC_M0547_1.01	
DM_Average_5	DMRT1,DMRT3,DMRTC2,KANK1.1
DM_M0564_1.01	DMRT2,DMRTA1
DM_Average_4	DMRT3,DMRTA1,DMRTA2
DM_Average_1	DMRT1,KANK1.1
DP_E2F_M6334_1.01	TFDP1,TFDP2,TFDP3
E2F_Average_32	E2F1,E2F2,E2F3,E2F4,E2F5
E2F_Average_24	E2F2,E2F3,E2F4,E2F5,E2F7,E2F8
E2F_Average_31	E2F1,E2F2,E2F3,E2F4,E2F5,E2F7
E2F_Average_28	E2F1,E2F3,E2F4,E2F5,E2F6
E2F_Average_33	E2F2,E2F3
E2F_Average_27	E2F1,E2F3
EIN3_Average_2	BRCA1
EIN3_Average_1	BRCA1
Ets_Average_110	EHF,ELF1,ELF2,ELF3,ELF4,ELF5,ELK1,ELK3,ELK4,ERF,ERG,ETS1,ETS2,ETV1,ETV2,ETV3,ETV6,FEV,FLI1,GABPA,GM4881,NP_001096189.1,SFPI1,SPI1,SPIB
Ets_Average_70	SPDEF
Ets_M1778_1.01	SPI1,SPIB
Ets_Average_109	EHF,ELF1,ELF2,ELF3,ELF4,ELF5,ELK1,ELK3,ELK4,ERF,ERG,ETS1,ETS2,ETV1,ETV2,ETV3,ETV4,ETV5,ETV6,ETV7,FEV,FLI1,GABPA,GM5454,NP_001096189.1,SPDEF
Ets_M6042_1.01	ELK1,ELK3,ELK4,ERG,ETS1,ETS2,ETV1,ETV2,ETV5,FEV,GABPA,NP_001096189.1
Ets_M6024_1.01	EHF,ELF3,ELF5
Ets_Average_72	ETS1
Ets_Average_100	ELF1,ELF2,SFPI1,SPI1,SPIB,SPIC
Ets_M5244_1.01	ETV6
Ets_M5201_1.01	ELK1,ELK3,ELK4,ERF,ERG,ETS1,ETS2,ETV1,ETV2,ETV3,FEV,GABPA,NP_001096189.1
Ets_Average_93	EHF,ELF3,ELF5,SPI1,SPIB,SPIC
Ets_Average_39	ELK1,ELK3,ELK4,ERF,ERG,ETS1,ETS2,ETV1,ETV2,ETV3,FEV,FLI1,GABPA,NP_001096189.1
Ets_Average_53	SPDEF
Ets_Average_12	ELK1,ELK3,ELK4,ERF,ERG,ETS1,ETS2,ETV1,ETV2,ETV3,FEV,GABPA,NP_001096189.1
Ets_Average_34	SPDEF
