motif	factors
GATA_M4535_1.01	GATA1,GATA2,GATA3,GATA4,GATA5,GATA6
GATA_Average_33	GATA1,GATA2,GATA3,GATA4,GATA5,GATA6
GATA_Average_30	GATA1,GATA2,GATA3,GATA4,GATA5,GATA6
GCM_Average_9	GCM1,GCM2
GCM_Average_8	GCM1,GCM2
GCM_M5304_1.01	GCM1,GCM2
Grainyhead_Average_6	TCFCP2,TCFCP2L1,TFCP2,UBP1
Grainyhead_M6333_1.01	TFCP2
Grainyhead_M2949_1.01	TFCP2
Grainyhead_Average_4	GRHL1,TCFCP2,TFCP2,UBP1
Grainyhead_M5316_1.01	GRHL1
Grainyhead_M6348_1.01	TCFCP2,TFCP2,UBP1
Homeodomain_M2900_1.01	CDX1,CDX2,CDX4
Homeodomain_M1766_1.01	PAX4
Homeodomain_M3061_1.01	EN1,EN2
Homeodomain_M1729_1.01	EN1,EN2
Homeodomain_Average_371	EN1,EN2,GBX1,GBX2,GBX2.1,GBX2.2
Homeodomain_Average_43	EMX1,EMX1.2,EMX2
Homeodomain_Average_132	LHX2,LHX9,MEOX2
Homeodomain_Average_385	AC189028.1,ALX1,ALX4,ARX,CRX,DMBX1,DPRX,GM4745,GM4830,GM5889,GSC,GSC2,NP_663755.2,OBOX1,OBOX6,OTP,OTX1,OTX2,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,PRRXL1,Q8VHG7_MOUSE,RAX,RHOXF1
Homeodomain_Average_280	DPRX,RHOXF1
Homeodomain_M2139_1.01	CRX,OTX2,PHOX2A,PHOX2B,PRRXL1,RAX
Homeodomain_Average_377	LHX1,LHX3,LHX4,LHX5,TLX1,TLX2,TLX3,TLX3.2
Homeodomain_M0858_1.01	HOXA10,HOXA11,HOXA9,HOXB9,HOXC10,HOXC9,HOXD10,NP_032296.2
Homeodomain_M5766_1.01	VENTX
Homeodomain_M3510_1.01	NKX6-1,NKX6-2,NKX6-3,NP_083278.1
Homeodomain_Average_389	LBX1,LHX2,LHX9
Homeodomain_Average_395	ISL1,ISL2,NANOG,NANOGP1
Homeodomain_M5976_1.01	BARX1,BARX2
Homeodomain_Average_405	AC012531.1,ALX1,ALX3,ALX4,ARX,BAPX,BARX1,BSX,DBX1,DBX2,DLX1,DLX2,DLX3,DLX4,DLX5,DLX6,DMBX1,EMX1,EMX1.2,EMX2,EN1,EN2,ESX1,EVX1,EVX2,GBX1,GBX2,GBX2.1,GBX2.2,GSX1,GSX2,HESX1,HOXA1,HOXA10,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXB1,HOXB2,HOXB3,HOXB4,HOXB5,HOXB7,HOXB8,HOXB9,HOXC10,HOXC3,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD1,HOXD10,HOXD3,HOXD4,HOXD8,HOXD9,ISX,LBX1,LBX2,LHX1,LHX2,LHX3,LHX4,LHX5,LHX6,LHX8,LHX9,LMX1A,LMX1B,LMX1B.1,LMX1B.2,LOC100486032,MEOX1,MEOX2,MIXL1,MNX1,MSX1,MSX2,MSX3,NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-5,NKX2-6,NKX2-8,NKX3-1,NKX3-2,NOBOX,NOTO,NP_001076596.1,NP_032296.2,OTP,PAX3,PDX1,PHOX2A,PHOX2B,POU6F1,PRRX1,PRRX2,PRRXL1,RAX,RAX2,SEBOX,SHOX,SHOX2,UNCX,VAX1,VAX2,VENTX,VSX1,VSX2,VTN,ZFHX2
Homeodomain_Average_378	POU6F1,RHOX6,RHOX9
Homeodomain_Average_380	BARHL1,BARHL2,HMX1,HMX2,HMX3,NP_032283.3
Homeodomain_Average_349	BAPX,BARHL1,BARHL2,NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-5,NKX2-6,NKX2-8,NKX3-1,NKX3-2
Homeodomain_Average_359	DUXBL,GM10391,GM10394,LHX6,LHX8,NP_001076596.1
Homeodomain_Average_404	AC012531.1,ALX1,ALX3,ALX4,ARX,BARX1,BARX2,BSX,CRX,DLX1,DLX2,DLX3,DLX4,DLX5,DLX6,DMBX1,EMX1,EMX1.2,EMX2,EN2,EVX1,EVX2,GBX1,GBX2.1,GBX2.2,GSX1,GSX2,HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXB1,HOXB2,HOXB3,HOXB4,HOXB5,HOXB7,HOXB8,HOXB9,HOXC3,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD1,HOXD3,HOXD4,HOXD8,ISX,LHX1,LHX3,LHX4,LHX5,LMX1A,LMX1B.1,LMX1B.2,LOC100486032,MEOX1,MEOX2,MNX1,MSX1,MSX2,MSX3,NKX1-1,NKX1-2,NKX6-1,NKX6-2,NKX6-3,NOTO,NP_032296.2,NP_083278.1,OTP,OTX2,PAX3,PAX4,PAX7,PDX1,PHOX2A,PHOX2B,POU2F3,POU3F2,POU3F4,POU4F2,POU4F3,PRRX1,PRRX2,PRRXL1,RAX,SHOX,SHOX2,UNCX,VAX1,VAX2,VSX1,VSX2,ZFHX3
Homeodomain_Average_286	GM4745,GM5889,NP_663755.2,OBOX3,OBOX5,Q8VHG7_MOUSE
Homeodomain_Average_366	GBX1,GBX2,GBX2.1,GBX2.2,NANOG,NANOGP1,NOBOX
Homeodomain_Average_318	LBX1,LBX2,LHX2,LHX9
Homeodomain_Average_152	HNF1A,HNF1B
Homeodomain_M3446_1.01	MSX1,MSX2
Homeodomain_M3472_1.01	TLX1,TLX2,TLX3,TLX3.2
Homeodomain_M3303_1.01	AC012531.1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXB2,HOXB3,HOXB4,HOXB5,HOXB7,HOXC3,HOXC4,HOXC5,HOXC6,HOXD3,HOXD4,PDX1
Homeodomain_Average_261	BARX1,MSX1,MSX2,MSX3
Homeodomain_Average_41	HESX1,LHX2,LHX9
Homeodomain_Average_314	AC012531.1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXB2,HOXB3,HOXB4,HOXB5,HOXB7,HOXC3,HOXC4,HOXC5,HOXD3,HOXD4,LHX6,LHX8,NP_001076596.1,PDX1
Homeodomain_Average_34	BARHL1,BARHL2
Homeodomain_M6258_1.01	ALX1,ALX4,ARX,PHOX2A,PHOX2B,PRRX1,PRRX2,PRRXL1,RAX
Homeodomain_M3298_1.01	AC012531.1,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXB2,HOXB3,HOXB4,HOXB5,HOXB7,HOXB8,HOXB9,HOXC3,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD3,HOXD4,HOXD8,NP_032296.2,PDX1
Homeodomain_M5413_1.01	LBX1,LBX2
Homeodomain_Average_332	AL592170.2,ALX1,ALX3,ALX4,ARX,CRX,CT476828.2,DMBX1,DRGX,DUX4,DUX4L2,DUX4L3,DUX4L5,DUX4L6,DUXA,ISX,OTP,OTX2,PAX3,PHOX2A,PHOX2B,PROP1,PRRX1,PRRX2,PRRXL1,RAX,SHOX,SHOX2,UNCX,VSX2
Homeodomain_Average_33	CRX,OTP,OTX1,OTX2,PHOX2A,PHOX2B,PRRXL1
Homeodomain_M6257_1.01	PROP1
Homeodomain_Average_186	AL662830.5,AL845464.3,BX284686.1,BX927239.6,CR812478.2,CR933878.8,PBX1,PBX2,PBX3,PBX4
Homeodomain_M2172_1.01	BAPX,NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-5,NKX2-6,NKX2-8,NKX3-1,NKX3-2
Homeodomain_M6112_1.01	AC012531.1,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXB3,HOXB4,HOXB5,HOXB7,HOXB8,HOXB9,HOXC3,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD3,HOXD4,HOXD8,NP_032296.2,PDX1
Homeodomain_Average_399	AC012531.1,AL662830.5,AL845464.3,BX284686.1,BX927239.6,CR812478.2,CR933878.8,HOXA1,HOXA10,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXB2,HOXB3,HOXB4,HOXB5,HOXB6,HOXB7,HOXB8,HOXB9,HOXC10,HOXC3,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD10,HOXD3,HOXD4,HOXD8,HOXD9,NP_032296.2,PBX1,PBX2,PBX3,PBX4,PDX1
Homeodomain_M6238_1.01	PKNOX1,PKNOX2
Homeodomain_Average_305	DUX,GM4981
Homeodomain_Average_142	HOXA1,HOXA2,HOXB1,HOXB2,HOXD1
Homeodomain_M5445_1.01	MEOX2
Homeodomain_M2886_1.01	ALX1,ALX4,ARX,DMBX1,OTP,PAX3,PHOX2A,PHOX2B,PRRX1,PRRX2,PRRXL1,RAX,VSX2
Homeodomain_Average_28	LHX6,LHX8,NP_001076596.1
Homeodomain_Average_268	AC012531.1,HOXA10,HOXA11,HOXA13,HOXA5,HOXA6,HOXA7,HOXA9,HOXB13,HOXB5,HOXB7,HOXB9,HOXC10,HOXC11,HOXC12,HOXC13,HOXC5,HOXC6,HOXC9,HOXD10,HOXD11,HOXD12,HOXD13,HOXD9,NP_032296.2,NP_032300.2
Homeodomain_M0992_1.01	AL662830.5,AL845464.3,BX284686.1,BX927239.6,CR812478.2,CR933878.8,PBX1,PBX2,PBX3,PBX4
Homeodomain_M6123_1.01	AC012531.1,HOXA10,HOXA5,HOXA6,HOXA7,HOXA9,HOXB5,HOXB7,HOXB9,HOXC10,HOXC5,HOXC6,HOXC9,HOXD10,HOXD9,NP_032296.2
Homeodomain_M6108_1.01	HOXA10,HOXA6,HOXA7,HOXA9,HOXB7,HOXB9,HOXC10,HOXC6,HOXC9,HOXD10,HOXD9,NP_032296.2
Homeodomain_Average_386	CDX1,CDX2,CDX4
Homeodomain_Average_353	AC012531.1,CDX1,CDX2,CDX4,HOXA10,HOXA11,HOXA13,HOXA5,HOXA6,HOXA7,HOXA9,HOXB13,HOXB5,HOXB7,HOXB9,HOXC10,HOXC11,HOXC12,HOXC13,HOXC5,HOXC6,HOXC9,HOXD10,HOXD11,HOXD12,HOXD13,HOXD9,NP_032296.2,NP_032300.2
Homeodomain_Average_390	CDX1,CDX2,CDX4,HOXA11,HOXA13,HOXB13,HOXC10,HOXC11,HOXC12,HOXC13,HOXD10,HOXD12,HOXD13,NP_032300.2
Homeodomain_M6121_1.01	HOXA13,HOXD13
Homeodomain_Average_238	BARHL1,BARHL2
Homeodomain_M5349_1.01	HOMEZ
Homeodomain_M5767_1.01	VENTX
Homeodomain_Average_355	HNF1A,HNF1B
Homeodomain_M6365_1.01	ZFHX3
Homeodomain_M6120_1.01	HOXA10,HOXA11,HOXA9,HOXB9,HOXC10,HOXC9,HOXD10,NP_032296.2
Homeodomain_M0986_1.01	
Homeodomain_M0985_1.01	RHOX8
Homeodomain_Average_101	POU6F1,POU6F2
Homeodomain_M6118_1.01	AC012531.1,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXB3,HOXB4,HOXB5,HOXB7,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD3,HOXD4,HOXD8,NP_032296.2
Homeodomain_M6196_1.01	NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-6,NKX2-8
Homeodomain_M6193_1.01	NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-6,NKX2-8
Homeodomain_Average_72	NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-6,NKX2-8
Homeodomain_Average_394	BAPX,HMX1,HMX2,HMX3,ISL1,ISL2,NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-5,NKX2-6,NKX2-8,NKX3-1,NKX3-2,NP_032283.3
Homeodomain_Average_338	BAPX,NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-5,NKX2-6,NKX2-8,NKX2-9,NKX3-1,NKX3-2
Homeodomain_Average_289	BAPX,NKX2-3,NKX3-1,NKX3-2
Homeodomain_M6007_1.01	DLX1,DLX2,DLX3,DLX4,DLX5,DLX6
Homeodomain_M5336_1.01	HMBOX1
Homeodomain_Average_383	HLX,LMX1A,LMX1B,LMX1B.1,LMX1B.2,PROP1
Homeodomain_Average_351	DBX1,DBX2,EN1,EN2
Homeodomain_Average_402	AC012531.1,HOXA10,HOXA11,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXB3,HOXB4,HOXB5,HOXB7,HOXB8,HOXB9,HOXC10,HOXC3,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD10,HOXD3,HOXD4,HOXD8,HOXD9,NP_032296.2,PDX1
Homeodomain_M0888_1.01	CUX1
Homeodomain_M0906_1.01	HDX
Homeodomain_Average_401	HOXA10,HOXA11,HOXA9,HOXB9,HOXC10,HOXC11,HOXC9,HOXD10,HOXD11,NP_032296.2
Homeodomain_Average_376	ISL1,ISL2,TLX1,TLX2,TLX3,TLX3.2
Homeodomain_Average_370	AL662830.5,AL845464.3,BX284686.1,BX927239.6,CPHX,CR812478.2,CR933878.8,PBX1,PBX2,PBX3,PBX4
Homeodomain_Average_319	SIX2,SIX3,SIX6
Homeodomain_M0943_1.01	POU3F3
Homeodomain_Average_400	DOBOX4,SIX1,SIX2,SIX3,SIX4,SIX5
Homeodomain_Average_367	AC012531.1,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXB1,HOXB2,HOXB3,HOXB4,HOXB5,HOXB6,HOXB7,HOXB8,HOXB9,HOXC3,HOXC4,HOXC5,HOXC6,HOXC8,HOXC9,HOXD3,HOXD4,HOXD8,NP_032296.2,PDX1
Homeodomain_M0967_1.01	HOMEZ
Homeodomain_Average_361	IRX1,IRX2,IRX3,IRX4,IRX5,IRX6
Homeodomain_Average_246	IRX1,IRX2,IRX3,IRX4,IRX5,IRX6
Homeodomain_Average_187	RHOX11
Homeodomain_Average_372	RHOX11
Homeodomain_Average_312	HMBOX1,HNF1A,HNF1B
Homeodomain_M0808_1.01	ZHX1
Homeodomain_Average_345	MEIS1,MEIS2,MEIS3,PKNOX2,TGIF1,TGIF2,TGIF2LY
Homeodomain_Average_326	MEIS1,MEIS2,MEIS3,PKNOX1,PKNOX2
Homeodomain_M0811_1.01	AC226150.2
Homeodomain_M0848_1.01	SIX3,SIX6
Homeodomain_Average_200	MEIS1,MEIS2,MEIS3,PKNOX1,PKNOX2,TGIF1,TGIF2,TGIF2LX,TGIF2LY
Homeodomain_Average_139	HOXA10,HOXA6,HOXA7,HOXA9,HOXB7,HOXB9,HOXC10,HOXC6,HOXC9,HOXD10,HOXD9,MEIS1,MEIS2,MEIS3,NP_032296.2,PKNOX2
Homeodomain_M6338_1.01	TGIF1,TGIF2
Homeodomain_M6344_1.01	TLX1,TLX3,TLX3.2
Homeodomain_M6345_1.01	TLX1,TLX3,TLX3.2
Homeodomain_M6091_1.01	HESX1
Homeodomain_Average_79	IRX1,IRX2,IRX3,IRX4,IRX5,IRX6
Homeodomain_M5856_1.01	IRX1,IRX2,IRX3,IRX4,IRX5,IRX6
Homeodomain_M3271_1.01	HMX1,HMX2,HMX3,NP_032283.3
Homeodomain_Paired_box_M3586_1.01	PAX4
Homeodomain_Paired_box_M3588_1.01	PAX4
Homeodomain_Paired_box_Average_9	PAX4,PAX6,PRRXL1
Homeodomain_Paired_box_M3581_1.01	PAX2
Homeodomain_Paired_box_Average_2	PAX3,PAX7
Homeodomain_Paired_box_Average_6	PAX2
Homeodomain_Paired_box_M3587_1.01	PAX4
Homeodomain_Paired_box_Average_8	PAX2,PAX6
Homeodomain_Paired_box_M3585_1.01	PAX4
Homeodomain_Paired_box_Average_10	PAX2
Homeodomain_Paired_box_M3583_1.01	PAX3,PAX7
Homeodomain_POU_Average_48	POU4F1,POU4F1.2,POU4F2,POU6F1,POU6F2
Homeodomain_POU_M5566_1.01	POU6F1,POU6F2
Homeodomain_POU_M2879_1.01	PO2F1_XENTR,POU3F1,POU3F2,POU3F4
Homeodomain_POU_Average_44	POU1F1,POU2F2,POU3F1,POU3F4
Homeodomain_POU_M3547_1.01	PO2F1_XENTR,POU2F1,POU3F4
Homeodomain_POU_M1143_1.01	POU2F1
Homeodomain_POU_Average_50	PIT1,PO2F1_XENTR,POU1F1,POU2F1,POU3F1,POU3F4
Homeodomain_POU_M3945_1.01	POU3F1,POU3F4
Homeodomain_POU_Average_43	AL662833.4,AL773544.1,BX088580.2,CR388229.2,CR759815.4,PO2F1_XENTR,POU1F1,POU2F1,POU2F2,POU2F3,POU3F1,POU3F2,POU3F3,POU3F4,POU5F1B
Homeodomain_POU_Average_32	PO2F1_XENTR,POU2F1,POU3F1,POU3F2,POU3F4
Homeodomain_POU_Average_47	AL662833.4,AL773544.1,BX088580.2,CR388229.2,CR759815.4,POU3F1,POU3F4,POU5F1
Homeodomain_POU_M1146_1.01	PO2F1_XENTR,POU3F4
Homeodomain_POU_M3550_1.01	PO2F1_XENTR,POU2F1,POU3F4
Homeodomain_POU_Average_46	AL662833.4,AL773544.1,BX088580.2,CR388229.2,CR759815.4,PO2F1_XENTR,POU2F1,POU2F2,POU2F3,POU3F1,POU3F3,POU3F4,POU5F1B
Homeodomain_POU_Average_45	AL662833.4,AL773544.1,BX088580.2,CR388229.2,CR759815.4,PO2F1_XENTR,POU1F1,POU3F1,POU3F2,POU3F3,POU3F4,POU4F1,POU4F1.2,POU4F2,POU4F3
Homeodomain_POU_M6245_1.01	PO2F1_XENTR,POU3F1,POU3F2,POU3F4
Homeodomain_POU_M6236_1.01	POU1F1
Homeodomain_POU_M1137_1.01	PO2F1_XENTR,POU2F1,POU3F4
Homeodomain_POU_M3642_1.01	PO2F1_XENTR,POU3F1,POU3F2,POU3F4
HSF_Average_3	HSFY1,HSFY2
HSF_M5388_1.01	HSFY1,HSFY2
HSF_Average_8	HSF1,HSF2,HSF4
HSF_Average_6	HSF1,HSF2,HSF4
HSF_M4439_1.01	HSF1,HSF4
IRF_Average_23	IRF1,IRF2,IRF3,IRF4,IRF5,IRF7,IRF8,IRF9
IRF_M6129_1.01	IRF4
IRF_Average_22	IRF5
IRF_M5396_1.01	IRF7
IRF_M4333_1.01	IRF4
IRF_M6130_1.01	IRF5
IRF_Average_17	IRF4,IRF5,IRF6
IRF_M1167_1.01	IRF3
IRF_Average_24	IRF2,IRF7,IRF9
IRF_M1164_1.01	
MADS_box_Average_21	AC002126.6,MEF2A,MEF2B,MEF2C,MEF2D
MADS_box_M3423_1.01	AC002126.6,MEF2A,MEF2C,MEF2D
MADS_box_M3420_1.01	AC002126.6,MEF2A,MEF2C,MEF2D
MADS_box_Average_20	SRF
MADS_box_M3822_1.01	SRF
MADS_box_M1200_1.01	SRF
MBD_Average_1	MBD2,MECP2
MBD_M1203_1.01	MECP2
Myb_SANT_M1793_1.01	MYB
Myb_SANT_M2938_1.01	MYB
Myb_SANT_Average_10	MYB,MYBL1,MYBL2
Myb_SANT_Average_6	MYB,MYBL1,MYBL2
Myb_SANT_Average_2	MYB,MYBL1,MYBL2
Myb_SANT_Average_5	MYB,MYBL1,MYBL2
Myb_SANT_M6168_1.01	MYBL2
Myb_SANT_Average_9	MYB,MYBL1,MYBL2
Myb_SANT_M1260_1.01	TERF2
Myb_SANT_Average_3	CDC5L
Myb_SANT_M1261_1.01	MYPOP
Myb_SANT_M1262_1.01	PRDM11
Myb_SANT_M4397_1.01	SMARCC1,SMARCC2
Myb_SANT_Average_7	SMARCC1,SMARCC2
Ndt80_PhoG_M1320_1.01	C11ORF9,GM239
Ndt80_PhoG_M1321_1.01	C11ORF9,GM239,GM98
Nuclear_receptor_Average_172	NR2F1,NR2F2,NR2F5,NR2F6,RARA,RARB,RARG,RORA,RORB.2,RORC
Nuclear_receptor_Average_73	NR2E1
Nuclear_receptor_M2830_1.01	NR2F1,NR2F2,NR2F5,NR2F6
Nuclear_receptor_Average_167	NP_001039261.1,NR4A1,NR4A2,NR4A3,THRA,THRB
Nuclear_receptor_M5758_1.01	NP_001039261.1,THRA,THRB
Nuclear_receptor_M5757_1.01	NP_001039261.1,THRA,THRB
Nuclear_receptor_Average_174	AL662824.5,AL844527.7,CR354565.3,CR759733.4,CR936877.3,ESR1,ESR2,ESRRA,ESRRB,ESRRG,ESRRGR,NP_001039261.1,NR1I2,NR1I3,NR2C1,NR2C2,NR2E1,NR2F1,NR2F2,NR2F5,NR2F6,NR4A1,NR4A2,NR4A3,NR5A1,NR5A2,PPARA,PPARD,PPARG,RARA,RARB,RARG,RORA,RORB,RORB.2,RORC,RXRA,RXRB,RXRG,THRA,THRB,VDR
Nuclear_receptor_M6265_1.01	RARA,RARB,RARG
Nuclear_receptor_Average_151	NR1D1,NR1D2,RORA,RORB.2,RORC
Nuclear_receptor_Average_63	NR2E1
Nuclear_receptor_Average_175	ESRRA,ESRRB,ESRRG,ESRRGR,NR1I2,NR1I3,RARA,RARB,RARG
Nuclear_receptor_Average_154	NP_001039261.1,THRA,THRB
Nuclear_receptor_Average_144	ESRRA,ESRRB,ESRRG,ESRRGR,RARA,RARB,RARG,RORA,RORB.2,RORC
Nuclear_receptor_M6263_1.01	RARA,RARB,RARG
Nuclear_receptor_M5504_1.01	NR4A1,NR4A2,NR4A3
Nuclear_receptor_M6203_1.01	NR1H2,NR1H3,NR1H4,NR1H5
Nuclear_receptor_Average_176	ESR1,ESR2,ESRRA,ESRRB,ESRRG,ESRRGR,PPARA,PPARD,PPARG
Nuclear_receptor_Average_168	NR2E1,NR2F1,NR2F2,NR2F5,NR2F6,RARA,RARB,RARG,RORA,RORB.2,RORC
Nuclear_receptor_M1341_1.01	HNF4A,HNF4B,HNF4G
Nuclear_receptor_Average_170	AL662824.5,AL844527.7,CR354565.3,CR759733.4,CR936877.3,HNF4A,HNF4B,HNF4G,NR2C2,NR2F1,NR2F2,NR2F5,NR2F6,PPARA,PPARD,PPARG,RXRA,RXRB,RXRG
Nuclear_receptor_M6210_1.01	NR2E3
Nuclear_receptor_M6202_1.01	NR1H2
Nuclear_receptor_Average_85	NR6A1
Nuclear_receptor_Average_171	AR,NR3C1,NR3C2,PGR
Nuclear_receptor_M1354_1.01	AR,NR3C1,NR3C2,PGR
Nuclear_receptor_M1331_1.01	AR,NR3C1,NR3C2,PGR
Nuclear_receptor_Average_157	AR,NR3C1,NR3C2,PGR
Nuclear_receptor_M6157_1.01	AR,NR3C1,NR3C2,PGR
Nuclear_receptor_Average_58	NR1I2,VDR
Nuclear_receptor_M6352_1.01	NR1I2,VDR
Nuclear_receptor_Average_62	AL662824.5,AL844527.7,CR354565.3,CR759733.4,CR936877.3,RXRA,RXRB,RXRG
Nuclear_receptor_Average_20	NR2C1,NR2C2
Nuclear_receptor_M1843_1.01	NR2E3
p53_M5923_1.01	TRP53
p53_M5922_1.01	TRP53
p53_Average_10	TP53,TP63,TP73,TRP63
p53_Average_8	TP53,TP63,TP73,TRP53,TRP63,TRP73
p53_M3568_1.01	TP53
Paired_box_Average_7	PAX1,PAX5,PAX8,PAX9
Paired_box_Average_6	PAX1,PAX5,PAX8,PAX9
Paired_box_M3591_1.01	PAX1,PAX5,PAX8,PAX9
Paired_box_M3590_1.01	PAX1,PAX5,PAX8,PAX9
Paired_box_M6230_1.01	PAX1,PAX5,PAX8,PAX9
Paired_box_M6228_1.01	PAX1,PAX5,PAX8,PAX9
Pipsqueak_Average_1	LCOR
Pipsqueak_M1386_1.01	
Prospero_M5572_1.01	PROX1
Rel_Average_30	NFAT5
Rel_M6180_1.01	NFATC1,NFATC2,NFATC3,NFATC4
Rel_Average_32	NFAT5,NFATC1,NFATC2,NFATC3,NFATC4
Rel_Average_27	NFATC1,NFATC2,NFATC3,NFATC4
Rel_M5475_1.01	NFATC1,NFATC2,NFATC3,NFATC4
Rel_Average_28	NFKB1,REL,RELA,RELB
Rel_M6189_1.01	NFKB2
Rel_Average_25	NFKB1,NFKB2
Rel_M5957_1.01	REL,RELA
Rel_M5476_1.01	NFATC1,NFATC2,NFATC3,NFATC4
Rel_M5477_1.01	NFATC1,NFATC2,NFATC3,NFATC4
RFX_Average_30	RFX1,RFX2,RFX3,RFX4,RFX5,RFX6,RFX7,RFX8
RFX_Average_29	RFX1,RFX2,RFX3,RFX4,RFX5,RFX6,RFX7,RFX8
RFX_Average_9	RFX1,RFX2,RFX3,RFX4,RFX5,RFX6,RFX7,RFX8
Runt_Average_10	RUNX1,RUNX2,RUNX3
Runt_Average_9	RUNX1,RUNX2,RUNX3
Runt_Average_1	RUNX1,RUNX2,RUNX3
SAND_Average_9	GMEB1,GMEB2
SAND_M1432_1.01	
SAND_Average_6	GMEB2
SAND_M1429_1.01	AC168977.1,SP110
SAND_Average_8	IRC900814,SP100,SP140
SAND_M5959_1.01	AIRE
SAND_M5314_1.01	GMEB2
SAND_M5313_1.01	GMEB2
SMAD_M6283_1.01	SMAD2
SMAD_M1450_1.01	SMAD2,SMAD3,SMAD9
SMAD_Average_5	SMAD2,SMAD3,SMAD4,SMAD9
SMAD_M6282_1.01	SMAD1,SMAD9
SMAD_Average_7	NFIA,NFIB,NFIC,NFIX
SMAD_Average_3	NFIA,NFIB,NFIC,NFIX
SMAD_M5627_1.01	SMAD2,SMAD3,SMAD9
Sox_Average_54	SOX10,SOX2,SOX21,SOX7,SOX8,SOX9,SRY
Sox_M6292_1.01	SOX17,SOX17A,SOX17B.1
Sox_Average_55	SOX10,SOX8,SOX9
Sox_M5909_1.01	SOX1,SOX14,SOX2,SOX21
Sox_Average_96	SOX1,SOX10,SOX14,SOX15,SOX17,SOX17A,SOX17B.1,SOX18,SOX2,SOX21,SOX3,SOX7,SOX8,SOX9,SRY
Sox_Average_46	SOX1,SOX10,SOX11,SOX14,SOX15,SOX17,SOX17A,SOX17B.1,SOX18,SOX2,SOX21,SOX3,SOX4,SOX7,SOX8,SOX9,SRY
Sox_Average_97	LEF1,TCF7,TCF7L1,TCF7L2
Sox_Average_48	LEF1,TCF7,TCF7L1,TCF7L2
Sox_M6295_1.01	SOX11,SOX4
Sox_Average_95	BBX,HBP1
Sox_Average_94	SOX1,SOX10,SOX11,SOX12,SOX14,SOX15,SOX18,SOX2,SOX21,SOX3,SOX30,SOX4,SOX5,SOX6,SOX7,SOX8,SOX9,SRY
Sox_M1469_1.01	SOX3
Sox_Average_76	SOX1,SOX14,SOX17,SOX17A,SOX17B.1,SOX2,SOX21
Sox_Average_91	SOX1,SOX10,SOX13,SOX14,SOX17,SOX17A,SOX17B.1,SOX2,SOX21,SOX5,SOX6,SOX8,SOX9,SRY
Sox_M6309_1.01	SRY
Sox_Average_82	SOX1,SOX10,SOX11,SOX14,SOX15,SOX2,SOX21,SOX3,SOX4,SOX6,SOX9
Sox_M6293_1.01	SOX18
Sox_M1459_1.01	HMG20B
Sox_Average_66	SOX1,SOX14,SOX2,SOX21,SOX3
Sox_M3831_1.01	SRY
Sox_Average_92	LEF1,TCF7,TCF7L1,TCF7L2
Sox_M1457_1.01	HBP1
Sox_M1458_1.01	CIC
STAT_Average_23	STAT1,STAT3,STAT3.1,STAT4,STAT5A,STAT5B
STAT_M3856_1.01	STAT5A,STAT5B
STAT_Average_16	STAT6
STAT_Average_22	STAT1,STAT4,STAT5A,STAT5B,STAT6
STAT_M3845_1.01	STAT3,STAT3.1
STAT_Average_12	STAT2
T-box_M6030_1.01	EOMES,TBR1,TBX21
T-box_M5954_1.01	TBX2,TBX3
T-box_Average_29	EOMES,TBR1,TBX1,TBX10,TBX15,TBX18,TBX2,TBX20,TBX21,TBX22,TBX3,TBX4,TBX5
T-box_M1713_1.01	T,TBX19
T-box_M6322_1.01	TBX2,TBX3
T-box_Average_1	TBX1,TBX20
T-box_M5216_1.01	EOMES,TBR1,TBX21
T-box_Average_8	TBX2,TBX3,TBX4,TBX5
