Motif	Factor	Evidence	Curated
FOXA3_MOUSE.H11MO.0.A	Foxa3	ChIP-seq	Y
FOXC1_MOUSE.H11MO.0.C	Foxc1	ChIP-seq	Y
FOXD3_MOUSE.H11MO.0.C	Foxd3	ChIP-seq	Y
FOXI1_MOUSE.H11MO.0.B	Foxi1	ChIP-seq	Y
FOXJ2_MOUSE.H11MO.0.C	Foxj2	ChIP-seq	Y
FOXJ3_MOUSE.H11MO.0.A	Foxj3	ChIP-seq	Y
FOXK1_MOUSE.H11MO.0.A	Foxk1	ChIP-seq	Y
FOXL2_MOUSE.H11MO.0.C	Foxl2	ChIP-seq	Y
FOXM1_MOUSE.H11MO.0.B	Foxm1	ChIP-seq	Y
FOXO1_MOUSE.H11MO.0.A	Foxo1	ChIP-seq	Y
FOXO3_MOUSE.H11MO.0.B	Foxo3	ChIP-seq	Y
FOXO4_MOUSE.H11MO.0.C	Foxo4	ChIP-seq	Y
FOXP2_MOUSE.H11MO.0.A	Foxp2	ChIP-seq	Y
FOXQ1_MOUSE.H11MO.0.C	Foxq1	ChIP-seq	Y
GABPA_MOUSE.H11MO.0.A	Gabpa	ChIP-seq	Y
GATA1_MOUSE.H11MO.0.A	Gata1	ChIP-seq	Y
GATA2_MOUSE.H11MO.0.A	Gata2	ChIP-seq	Y
GATA3_MOUSE.H11MO.0.A	Gata3	ChIP-seq	Y
GATA4_MOUSE.H11MO.0.A	Gata4	ChIP-seq	Y
GATA6_MOUSE.H11MO.0.A	Gata6	ChIP-seq	Y
GCR_MOUSE.H11MO.0.A	Nr3c1	ChIP-seq	Y
GFI1B_MOUSE.H11MO.0.A	Gfi1b	ChIP-seq	Y
GFI1_MOUSE.H11MO.0.C	Gfi1	ChIP-seq	Y
GLI1_MOUSE.H11MO.0.C	Gli1	ChIP-seq	Y
GRHL2_MOUSE.H11MO.0.A	Grhl2	ChIP-seq	Y
HAND1_MOUSE.H11MO.0.C	Hand1	ChIP-seq	Y
HEN1_MOUSE.H11MO.0.C	Nhlh1	ChIP-seq	Y
HIC1_MOUSE.H11MO.0.C	Hic1	ChIP-seq	Y
HIF1A_MOUSE.H11MO.0.C	Hif1a	ChIP-seq	Y
HINFP_MOUSE.H11MO.0.C	Hinfp	ChIP-seq	Y
HLF_MOUSE.H11MO.0.C	Hlf	ChIP-seq	Y
HNF1A_MOUSE.H11MO.0.A	Hnf1a	ChIP-seq	Y
HNF1B_MOUSE.H11MO.0.A	Hnf1b	ChIP-seq	Y
HNF4A_MOUSE.H11MO.0.A	Hnf4a	ChIP-seq	Y
HNF4G_MOUSE.H11MO.0.C	Hnf4g	ChIP-seq	Y
HNF6_MOUSE.H11MO.0.A	Onecut1	ChIP-seq	Y
