Motif	Factor	Evidence	Curated
MA0265.1_ABF1	ABF1	PBM, CSA and/or DIP-chip	Y
MA0266.1_ABF2	ABF2	PBM, CSA and/or DIP-chip	Y
MA0267.1_ACE2	ACE2	PBM, CSA and/or DIP-chip	Y
MA0268.1_ADR1	ADR1	PBM, CSA and/or DIP-chip	Y
MA0269.1_AFT1	AFT1	PBM	Y
MA0270.1_AFT2	AFT2	PBM, CSA and/or DIP-chip	Y
MA0271.1_ARG80	ARG80	ChIP-chip	Y
MA0272.1_ARG81	ARG81	ChIP-chip	Y
MA0273.1_ARO80	ARO80	PBM	Y
MA0274.1_ARR1	ARR1	ChIP-chip	Y
MA0275.1_ASG1	ASG1	PBM, CSA and/or DIP-chip	Y
MA0276.1_ASH1	ASH1	ChIP-chip	Y
MA0277.1_AZF1	AZF1	PBM, CSA and/or DIP-chip	Y
MA0278.1_BAS1	BAS1	PBM	Y
MA0279.1_CAD1	CAD1	COMPILED	Y
MA0280.1_CAT8	CAT8	PBM, CSA and/or DIP-chip	Y
MA0281.1_CBF1	CBF1	PBM, CSA and/or DIP-chip	Y
MA0282.1_CEP3	CEP3	PBM, CSA and/or DIP-chip	Y
MA0283.1_CHA4	CHA4	PBM, CSA and/or DIP-chip	Y
MA0284.1_CIN5	CIN5	PBM, CSA and/or DIP-chip	Y
MA0285.1_CRZ1	CRZ1	PBM, CSA and/or DIP-chip	Y
MA0286.1_CST6	CST6	PBM, CSA and/or DIP-chip	Y
MA0287.1_CUP2	CUP2	COMPILED	Y
MA0288.1_CUP9	CUP9	PBM, CSA and/or DIP-chip	Y
MA0289.1_DAL80	DAL80	PBM, CSA and/or DIP-chip	Y
MA0290.1_DAL81	DAL81	ChIP-chip	Y
MA0291.1_DAL82	DAL82	PBM, CSA and/or DIP-chip	Y
MA0292.1_ECM22	ECM22	PBM, CSA and/or DIP-chip	Y
MA0293.1_ECM23	ECM23	PBM, CSA and/or DIP-chip	Y
MA0294.1_EDS1	EDS1	PBM, CSA and/or DIP-chip	Y
MA0295.1_FHL1	FHL1	PBM, CSA and/or DIP-chip	Y
MA0296.1_FKH1	FKH1	PBM	Y
MA0297.1_FKH2	FKH2	PBM, CSA and/or DIP-chip	Y
MA0298.1_FZF1	FZF1	PBM, CSA and/or DIP-chip	Y
MA0299.1_GAL4	GAL4	PBM	Y
MA0300.1_GAT1	GAT1	PBM, CSA and/or DIP-chip	Y
MA0301.1_GAT3	GAT3	PBM, CSA and/or DIP-chip	Y
MA0302.1_GAT4	GAT4	PBM, CSA and/or DIP-chip	Y
MA0303.1_GCN4	GCN4	PBM	Y
MA0304.1_GCR1	GCR1	COMPILED	Y
MA0305.1_GCR2	GCR2	ChIP-chip	Y
MA0306.1_GIS1	GIS1	PBM, CSA and/or DIP-chip	Y
MA0307.1_GLN3	GLN3	PBM, CSA and/or DIP-chip	Y
MA0308.1_GSM1	GSM1	PBM	Y
MA0309.1_GZF3	GZF3	PBM, CSA and/or DIP-chip	Y
MA0310.1_HAC1	HAC1	PBM, CSA and/or DIP-chip	Y
MA0311.1_HAL9	HAL9	PBM, CSA and/or DIP-chip	Y
MA0312.1_HAP1	HAP1	PBM, CSA and/or DIP-chip	Y
MA0313.1_HAP2	HAP2	COMPILED	Y
MA0314.1_HAP3	HAP3	COMPILED	Y
MA0316.1_HAP5	HAP5	COMPILED	Y
MA0317.1_HCM1	HCM1	PBM, CSA and/or DIP-chip	Y
MA0318.1_HMRA2	HMRA2	PBM, CSA and/or DIP-chip	Y
MA0319.1_HSF1	HSF1	PBM, CSA and/or DIP-chip	Y
MA0320.1_IME1	IME1	ChIP-chip	Y
MA0321.1_INO2	INO2	ChIP-chip	Y
MA0322.1_INO4	INO4	ChIP-chip	Y
MA0323.1_IXR1	IXR1	ChIP-chip	Y
MA0324.1_LEU3	LEU3	PBM, CSA and/or DIP-chip	Y
MA0325.1_LYS14	LYS14	PBM, CSA and/or DIP-chip	Y
MA0326.1_MAC1	MAC1	COMPILED	Y
MA0327.1_HMRA1	HMRA1	ChIP-chip	Y
MA0329.1_MBP1	MBP1	PBM, CSA and/or DIP-chip	Y
MA0330.1_MBP1::SWI6	MBP1	COMPILED	Y
MA0330.1_MBP1::SWI6	SWI6	COMPILED	Y
MA0331.1_MCM1	MCM1	COMPILED	Y
