Motif	Factor	Evidence	Curated
AHR_MOUSE.H10MO.B	Ahr	ChIP-seq	Y
AIRE_MOUSE.H10MO.C	Aire	ChIP-seq	Y
ALX1_MOUSE.H10MO.B	Alx1	ChIP-seq	Y
ANDR_MOUSE.H10MO.B	Ar	ChIP-seq	Y
AP2A_MOUSE.H10MO.A	Tfap2a	ChIP-seq	Y
AP2B_MOUSE.H10MO.B	Tfap2b	ChIP-seq	Y
AP2C_MOUSE.H10MO.A	Tfap2c	ChIP-seq	Y
AP2D_MOUSE.H10MO.D	Tfap2d	ChIP-seq	Y
ARI3A_MOUSE.H10MO.D	Arid3a	ChIP-seq	Y
ARI3A_MOUSE.H10MO.S	Arid3a	ChIP-seq	Y
ARI5B_MOUSE.H10MO.C	Arid5b	ChIP-seq	Y
ARNT2_MOUSE.H10MO.D	Arnt2	ChIP-seq	Y
ARNT_MOUSE.H10MO.B	Arnt	ChIP-seq	Y
ATF1_MOUSE.H10MO.B	Atf1	ChIP-seq	Y
ATF2_MOUSE.H10MO.B	Atf2	ChIP-seq	Y
ATF3_MOUSE.H10MO.A	Atf3	ChIP-seq	Y
ATOH1_MOUSE.H10MO.C	Atoh1	ChIP-seq	Y
BACH1_MOUSE.H10MO.C	Bach1	ChIP-seq	Y
BARX2_MOUSE.H10MO.D	Barx2	ChIP-seq	Y
BATF_MOUSE.H10MO.B	Batf	ChIP-seq	Y
BCL6_MOUSE.H10MO.C	Bcl6	ChIP-seq	Y
BHE40_MOUSE.H10MO.B	Bhlhe40	ChIP-seq	Y
BHE41_MOUSE.H10MO.D	Bhlhe41	ChIP-seq	Y
BMAL1_MOUSE.H10MO.C	Arntl	ChIP-seq	Y
BRAC_MOUSE.H10MO.D	T	ChIP-seq	Y
BRCA1_MOUSE.H10MO.D	Brca1	ChIP-seq	Y
CDC5L_MOUSE.H10MO.D	Cdc5l	ChIP-seq	Y
CDX1_MOUSE.H10MO.C	Cdx1	ChIP-seq	Y
CDX2_MOUSE.H10MO.C	Cdx2	ChIP-seq	Y
CDX4_MOUSE.H10MO.A	Cdx4	ChIP-seq	Y
CEBPA_MOUSE.H10MO.B	Cebpa	ChIP-seq	Y
CEBPB_MOUSE.H10MO.A	Cebpb	ChIP-seq	Y
CEBPD_MOUSE.H10MO.B	Cebpd	ChIP-seq	Y
CEBPE_MOUSE.H10MO.A	Cebpe	ChIP-seq	Y
CEBPG_MOUSE.H10MO.C	Cebpg	ChIP-seq	Y
CEBPZ_MOUSE.H10MO.D	Cebpz	ChIP-seq	Y
COE1_MOUSE.H10MO.C	Ebf1	ChIP-seq	Y
COT1_MOUSE.H10MO.B	Nr2f1	ChIP-seq	Y
COT1_MOUSE.H10MO.S	Nr2f1	ChIP-seq	Y
COT2_MOUSE.H10MO.B	Nr2f2	ChIP-seq	Y
COT2_MOUSE.H10MO.S	Nr2f2	ChIP-seq	Y
CREB1_MOUSE.H10MO.B	Creb1	ChIP-seq	Y
CREM_MOUSE.H10MO.C	Crem	ChIP-seq	Y
CRX_MOUSE.H10MO.A	Crx	ChIP-seq	Y
CRX_MOUSE.H10MO.S	Crx	ChIP-seq	Y
CTCF_MOUSE.H10MO.A	Ctcf	ChIP-seq	Y
CUX1_MOUSE.H10MO.C	Cux1	ChIP-seq	Y
CXXC1_MOUSE.H10MO.D	Cxxc1	ChIP-seq	Y
DBP_MOUSE.H10MO.B	Dbp	ChIP-seq	Y
DDIT3_MOUSE.H10MO.C	Ddit3	ChIP-seq	Y
DLX2_MOUSE.H10MO.D	Dlx2	ChIP-seq	Y
DLX3_MOUSE.H10MO.C	Dlx3	ChIP-seq	Y
E2F1_MOUSE.H10MO.A	E2f1	ChIP-seq	Y
E2F2_MOUSE.H10MO.B	E2f2	ChIP-seq	Y
E2F3_MOUSE.H10MO.B	E2f3	ChIP-seq	Y
E2F4_MOUSE.H10MO.C	E2f4	ChIP-seq	Y
E2F5_MOUSE.H10MO.B	E2f5	ChIP-seq	Y
E2F6_MOUSE.H10MO.A	E2f6	ChIP-seq	Y
E2F7_MOUSE.H10MO.D	E2f7	ChIP-seq	Y
E4F1_MOUSE.H10MO.D	E4f1	ChIP-seq	Y
EGR1_MOUSE.H10MO.A	Egr1	ChIP-seq	Y
EGR2_MOUSE.H10MO.C	Egr2	ChIP-seq	Y
EGR3_MOUSE.H10MO.D	Egr3	ChIP-seq	Y
EGR4_MOUSE.H10MO.D	Egr4	ChIP-seq	Y
EHF_MOUSE.H10MO.A	Ehf	ChIP-seq	Y
ELF1_MOUSE.H10MO.B	Elf1	ChIP-seq	Y
ELF2_MOUSE.H10MO.C	Elf2	ChIP-seq	Y
ELF3_MOUSE.H10MO.D	Elf3	ChIP-seq	Y
ELF5_MOUSE.H10MO.D	Elf5	ChIP-seq	Y
ELK1_MOUSE.H10MO.B	Elk1	ChIP-seq	Y
ELK3_MOUSE.H10MO.D	Elk3	ChIP-seq	Y
ELK4_MOUSE.H10MO.B	Elk4	ChIP-seq	Y
EPAS1_MOUSE.H10MO.D	Epas1	ChIP-seq	Y
ERG_MOUSE.H10MO.A	Erg	ChIP-seq	Y
ERR1_MOUSE.H10MO.A	Esrra	ChIP-seq	Y
ERR2_MOUSE.H10MO.B	Esrrb	ChIP-seq	Y
ERR3_MOUSE.H10MO.B	Esrrg	ChIP-seq	Y
ESR1_MOUSE.H10MO.B	Esr1	ChIP-seq	Y
ESR2_MOUSE.H10MO.B	Esr2	ChIP-seq	Y
ESR2_MOUSE.H10MO.S	Esr2	ChIP-seq	Y
ETS1_MOUSE.H10MO.B	Ets1	ChIP-seq	Y
ETS2_MOUSE.H10MO.C	Ets2	ChIP-seq	Y
ETV4_MOUSE.H10MO.B	Etv4	ChIP-seq	Y
ETV5_MOUSE.H10MO.D	Etv5	ChIP-seq	Y
EVI1_MOUSE.H10MO.B	Mecom	ChIP-seq	Y
EVX1_MOUSE.H10MO.C	Evx1	ChIP-seq	Y
EVX2_MOUSE.H10MO.C	Evx2	ChIP-seq	Y
FEV_MOUSE.H10MO.C	Fev	ChIP-seq	Y
FLI1_MOUSE.H10MO.A	Fli1	ChIP-seq	Y
FOSB_MOUSE.H10MO.C	Fosb	ChIP-seq	Y
FOSL1_MOUSE.H10MO.C	Fosl1	ChIP-seq	Y
FOSL2_MOUSE.H10MO.A	Fosl2	ChIP-seq	Y
FOS_MOUSE.H10MO.A	Fos	ChIP-seq	Y
FOXA1_MOUSE.H10MO.B	Foxa1	ChIP-seq	Y
FOXA2_MOUSE.H10MO.B	Foxa2	ChIP-seq	Y
FOXA3_MOUSE.H10MO.C	Foxa3	ChIP-seq	Y
FOXC1_MOUSE.H10MO.C	Foxc1	ChIP-seq	Y
FOXC2_MOUSE.H10MO.D	Foxc2	ChIP-seq	Y
FOXD1_MOUSE.H10MO.D	Foxd1	ChIP-seq	Y
FOXD3_MOUSE.H10MO.D	Foxd3	ChIP-seq	Y
FOXF1_MOUSE.H10MO.D	Foxf1	ChIP-seq	Y
FOXF2_MOUSE.H10MO.D	Foxf2	ChIP-seq	Y
FOXI1_MOUSE.H10MO.B	Foxi1	ChIP-seq	Y
FOXJ2_MOUSE.H10MO.C	Foxj2	ChIP-seq	Y
FOXJ3_MOUSE.H10MO.A	Foxj3	ChIP-seq	Y
FOXJ3_MOUSE.H10MO.S	Foxj3	ChIP-seq	Y
FOXM1_MOUSE.H10MO.D	Foxm1	ChIP-seq	Y
FOXO1_MOUSE.H10MO.C	Foxo1	ChIP-seq	Y
FOXO3_MOUSE.H10MO.B	Foxo3	ChIP-seq	Y
FOXO4_MOUSE.H10MO.C	Foxo4	ChIP-seq	Y
FOXP2_MOUSE.H10MO.A	Foxp2	ChIP-seq	Y
FOXP3_MOUSE.H10MO.D	Foxp3	ChIP-seq	Y
FOXQ1_MOUSE.H10MO.C	Foxq1	ChIP-seq	Y
FUBP1_MOUSE.H10MO.D	Fubp1	ChIP-seq	Y
