Motif	Factor	Evidence	Curated
MA0020.1_MA0020.1.Dof2	MA0020.1.Dof2	SELEX	Y
MA0021.1_MA0021.1.Dof3	MA0021.1.Dof3	SELEX	Y
MA0034.1_MA0034.1.Gam1	MA0034.1.Gam1	SELEX	Y
MA0053.1_MA0053.1.MNB1A	MA0053.1.MNB1A	SELEX	Y
MA0054.1_MA0054.1.myb.Ph3	MA0054.1.myb.Ph3	SELEX	Y
MA0064.1_MA0064.1.PBF	MA0064.1.PBF	SELEX	Y
MA0082.1_MA0082.1.squamosa	MA0082.1.squamosa	SELEX	Y
MA0096.1_MA0096.1.bZIP910	MA0096.1.bZIP910	SELEX	Y
MA0097.1_MA0097.1.bZIP911	MA0097.1.bZIP911	SELEX	Y
MA0121.1_MA0121.1.ARR10	MA0121.1.ARR10	SELEX	Y
MA0123.1_MA0123.1.abi4	MA0123.1.abi4	SELEX	Y
MA0127.1_MA0127.1.PEND	MA0127.1.PEND	SELEX	Y
MA0128.1_MA0128.1.EmBP-1	MA0128.1.EmBP-1	SELEX	Y
MA0129.1_MA0129.1.TGA1A	MA0129.1.TGA1A	SELEX	Y
MA0549.1_MA0549.1.BZR2	MA0549.1.BZR2	ChIP-chip	Y
MA0551.1_MA0551.1.HY5	MA0551.1.HY5	ChIP-chip	Y
MA0552.1_MA0552.1.PIF1	MA0552.1.PIF1	ChIP-chip	Y
MA0553.1_MA0553.1.SMZ	MA0553.1.SMZ	ChIP-chip	Y
MA0554.1_MA0554.1.SOC1	MA0554.1.SOC1	ChIP-chip	Y
MA0555.1_MA0555.1.SVP	MA0555.1.SVP	ChIP-chip	Y
MA0556.1_MA0556.1.AP3	MA0556.1.AP3	ChIP-seq	Y
MA0557.1_MA0557.1.FHY3	MA0557.1.FHY3	ChIP-seq	Y
MA0558.1_MA0558.1.FLC	MA0558.1.FLC	ChIP-seq	Y
MA0559.1_MA0559.1.PI	MA0559.1.PI	ChIP-seq	Y
MA0560.1_MA0560.1.PIF3	MA0560.1.PIF3	ChIP-seq	Y
MA0561.1_MA0561.1.PIF4	MA0561.1.PIF4	ChIP-seq	Y
MA0562.1_MA0562.1.PIF5	MA0562.1.PIF5	ChIP-seq	Y
MA0563.1_MA0563.1.SEP3	MA0563.1.SEP3	ChIP-seq	Y
MA0564.1_MA0564.1.ABI3	MA0564.1.ABI3	PBM	Y
MA0566.1_MA0566.1.MYC2	MA0566.1.MYC2	PBM	Y
MA0567.1_MA0567.1.ERF1B	MA0567.1.ERF1B	PBM	Y
MA0568.1_MA0568.1.MYC3	MA0568.1.MYC3	PBM	Y
MA0569.1_MA0569.1.MYC4	MA0569.1.MYC4	PBM	Y
MA0005.2_MA0005.2.AG	MA0005.2.AG	SELEX	Y
MA0571.1_MA0571.1.ANT	MA0571.1.ANT	SELEX	Y
MA0573.1_MA0573.1.ATHB-9	MA0573.1.ATHB-9	SELEX	Y
MA0574.1_MA0574.1.MYB15	MA0574.1.MYB15	SELEX	Y
MA0575.1_MA0575.1.MYB77	MA0575.1.MYB77	SELEX	Y
MA0576.1_MA0576.1.RAX3	MA0576.1.RAX3	SELEX	Y
MA0578.1_MA0578.1.SPL8	MA0578.1.SPL8	SELEX	Y
MA0579.1_MA0579.1.CDC5	MA0579.1.CDC5	SELEX	Y
MA0580.1_MA0580.1.DYT1	MA0580.1.DYT1	SELEX	Y
MA0581.1_MA0581.1.LEC2	MA0581.1.LEC2	SELEX	Y
MA0582.1_MA0582.1.RAV1	MA0582.1.RAV1	SELEX	Y
MA0583.1_MA0583.1.RAV1	MA0583.1.RAV1	SELEX	Y
MA0584.1_MA0584.1.SEP1	MA0584.1.SEP1	SELEX	Y
MA0001.2_MA0001.2.AGL3	MA0001.2.AGL3	SELEX	Y
MA0585.1_MA0585.1.AGL1	MA0585.1.AGL1	SELEX	Y
MA0587.1_MA0587.1.TCP16	MA0587.1.TCP16	SELEX	Y
MA0588.1_MA0588.1.TGA1	MA0588.1.TGA1	SELEX	Y
MA0589.1_MA0589.1.WRKY1	MA0589.1.WRKY1	SELEX	Y
MA0590.1_MA0590.1.LFY	MA0590.1.LFY	SELEX-seq	Y
MA0931.1_MA0931.1.ABI5	MA0931.1.ABI5	PBM	Y
MA0932.1_MA0932.1.AHL12	MA0932.1.AHL12	PBM	Y
MA0933.1_MA0933.1.AHL20	MA0933.1.AHL20	PBM	Y
MA0934.1_MA0934.1.AHL25	MA0934.1.AHL25	PBM	Y
MA0935.1_MA0935.1.NAC025	MA0935.1.NAC025	PBM	Y
MA0936.1_MA0936.1.NAC046	MA0936.1.NAC046	PBM	Y
MA0937.1_MA0937.1.NAC055	MA0937.1.NAC055	PBM	Y
MA0939.1_MA0939.1.NAC079	MA0939.1.NAC079	PBM	Y
MA0940.1_MA0940.1.AP1	MA0940.1.AP1	ChIP-seq	Y
MA0941.1_MA0941.1.ABF2	MA0941.1.ABF2	PBM	Y
MA0942.1_MA0942.1.ARF1	MA0942.1.ARF1	PBM	Y
MA0943.1_MA0943.1.ARF5	MA0943.1.ARF5	PBM	Y
MA0944.1_MA0944.1.ARF8	MA0944.1.ARF8	PBM	Y
MA0945.1_MA0945.1.ARR1	MA0945.1.ARR1	PBM	Y
MA0946.1_MA0946.1.ARR11	MA0946.1.ARR11	PBM	Y
MA0947.1_MA0947.1.ARR14	MA0947.1.ARR14	PBM	Y
MA0948.1_MA0948.1.ARR18	MA0948.1.ARR18	PBM	Y
MA0949.1_MA0949.1.ARR2	MA0949.1.ARR2	PBM	Y
MA0950.1_MA0950.1.ATHB-12	MA0950.1.ATHB-12	PBM	Y
MA0951.1_MA0951.1.ATHB-16	MA0951.1.ATHB-16	PBM	Y
MA0952.1_MA0952.1.ATHB-51	MA0952.1.ATHB-51	PBM	Y
MA0953.1_MA0953.1.ATHB-6	MA0953.1.ATHB-6	PBM	Y
MA0955.1_MA0955.1.POPTR_0002s00440g	MA0955.1.POPTR	PBM	Y
MA0956.1_MA0956.1.BEE2	MA0956.1.BEE2	PBM	Y
MA0957.1_MA0957.1.BHLH3	MA0957.1.BHLH3	PBM	Y
MA0958.1_MA0958.1.BHLH13	MA0958.1.BHLH13	PBM	Y
MA0959.1_MA0959.1.AIB	MA0959.1.AIB	PBM	Y
MA0960.1_MA0960.1.BHLH104	MA0960.1.BHLH104	PBM	Y
MA0961.1_MA0961.1.BHLH112	MA0961.1.BHLH112	PBM	Y
MA0962.1_MA0962.1.BHLH34	MA0962.1.BHLH34	PBM	Y
MA0963.1_MA0963.1.BHLH78	MA0963.1.BHLH78	PBM	Y
MA0966.1_MA0966.1.BIM3	MA0966.1.BIM3	PBM	Y
MA0967.1_MA0967.1.BZIP60	MA0967.1.BZIP60	PBM	Y
MA0969.1_MA0969.1.CAMTA2	MA0969.1.CAMTA2	PBM	Y
MA0970.1_MA0970.1.CAMTA3	MA0970.1.CAMTA3	PBM	Y
MA0971.1_MA0971.1.DREB1A	MA0971.1.DREB1A	PBM	Y
MA0972.1_MA0972.1.CCA1	MA0972.1.CCA1	PBM	Y
MA0973.1_MA0973.1.CDF2	MA0973.1.CDF2	PBM	Y
MA0975.1_MA0975.1.CRF2	MA0975.1.CRF2	PBM	Y
MA0977.1_MA0977.1.DOF2.5	MA0977.1.DOF2.5	PBM	Y
MA0978.1_MA0978.1.DREB1E	MA0978.1.DREB1E	PBM	Y
MA0979.1_MA0979.1.ERF008	MA0979.1.ERF008	PBM	Y
MA0981.1_MA0981.1.DOF1.8	MA0981.1.DOF1.8	PBM	Y
MA0982.1_MA0982.1.DOF2.4	MA0982.1.DOF2.4	PBM	Y
MA0983.1_MA0983.1.DOF5.6	MA0983.1.DOF5.6	PBM	Y
MA0984.1_MA0984.1.DOF5.7	MA0984.1.DOF5.7	PBM	Y
MA0986.1_MA0986.1.DREB2C	MA0986.1.DREB2C	PBM	Y
MA0987.1_MA0987.1.PHYPADRAFT_140773	MA0987.1.PHYPADRAFT	PBM	Y
MA0988.1_MA0988.1.PHYPADRAFT_143875	MA0988.1.PHYPADRAFT	PBM	Y
MA0989.1_MA0989.1.PHYPADRAFT_153324	MA0989.1.PHYPADRAFT	PBM	Y
MA0990.1_MA0990.1.HDG11	MA0990.1.HDG11	PBM	Y
MA0993.1_MA0993.1.ERF7	MA0993.1.ERF7	PBM	Y
MA0997.1_MA0997.1.ERF069	MA0997.1.ERF069	PBM	Y
MA0998.1_MA0998.1.ERF096	MA0998.1.ERF096	PBM	Y
MA1004.1_MA1004.1.ERF13	MA1004.1.ERF13	PBM	Y
MA1006.1_MA1006.1.ERF6	MA1006.1.ERF6	PBM	Y
MA1007.1_MA1007.1.PHYPADRAFT_173530	MA1007.1.PHYPADRAFT	PBM	Y
MA1008.1_MA1008.1.PHYPADRAFT_182268	MA1008.1.PHYPADRAFT	PBM	Y
MA1009.1_MA1009.1.ARF3	MA1009.1.ARF3	PBM	Y
MA1010.1_MA1010.1.PHYPADRAFT_64121	MA1010.1.PHYPADRAFT	PBM	Y
MA1011.1_MA1011.1.PHYPADRAFT_72483	MA1011.1.PHYPADRAFT	PBM	Y
MA1012.1_MA1012.1.AGL27	MA1012.1.AGL27	ChIP-seq	Y
MA1013.1_MA1013.1.GATA10	MA1013.1.GATA10	PBM	Y
MA1014.1_MA1014.1.GATA11	MA1014.1.GATA11	PBM	Y
MA1015.1_MA1015.1.GATA12	MA1015.1.GATA12	PBM	Y
MA1016.1_MA1016.1.GATA15	MA1016.1.GATA15	PBM	Y
MA1017.1_MA1017.1.GATA8	MA1017.1.GATA8	PBM	Y
MA1018.1_MA1018.1.GATA9	MA1018.1.GATA9	PBM	Y
MA1019.1_MA1019.1.Glyma19g26560.1	MA1019.1.Glyma19g26560.1	PBM	Y
MA1020.1_MA1020.1.GT-1	MA1020.1.GT-1	PBM	Y
MA1021.1_MA1021.1.PHYPADRAFT_48267	MA1021.1.PHYPADRAFT	PBM	Y
MA1022.1_MA1022.1.PHYPADRAFT_38837	MA1022.1.PHYPADRAFT	PBM	Y
MA1023.1_MA1023.1.PHYPADRAFT_28324	MA1023.1.PHYPADRAFT	PBM	Y
MA1024.1_MA1024.1.HAT1	MA1024.1.HAT1	PBM	Y
MA1025.1_MA1025.1.HBI1	MA1025.1.HBI1	PBM	Y
MA1027.1_MA1027.1.KAN1	MA1027.1.KAN1	PBM	Y
MA1028.1_MA1028.1.KAN4	MA1028.1.KAN4	PBM	Y
MA1030.1_MA1030.1.P0510F09.23	MA1030.1.P0510F09.23	PBM	Y
MA1031.1_MA1031.1.OJ1581_H09.2	MA1031.1.OJ1581	PBM	Y
MA1032.1_MA1032.1.DREB1G	MA1032.1.DREB1G	PBM	Y
MA1033.1_MA1033.1.OJ1058_F05.8	MA1033.1.OJ1058	PBM	Y
MA1034.1_MA1034.1.Os05g0497200	MA1034.1.Os05g0497200	PBM	Y
MA1035.1_MA1035.1.TCP4	MA1035.1.TCP4	PBM	Y
MA1036.1_MA1036.1.MYB111	MA1036.1.MYB111	PBM	Y
MA1037.1_MA1037.1.MYB24	MA1037.1.MYB24	PBM	Y
MA1038.1_MA1038.1.MYB3	MA1038.1.MYB3	PBM	Y
MA1039.1_MA1039.1.MYB4	MA1039.1.MYB4	PBM	Y
MA1040.1_MA1040.1.MYB46	MA1040.1.MYB46	PBM	Y
MA1041.1_MA1041.1.MYB55	MA1041.1.MYB55	PBM	Y
MA1042.1_MA1042.1.MYB59	MA1042.1.MYB59	PBM	Y
MA1043.1_MA1043.1.NAC083	MA1043.1.NAC083	PBM	Y
MA1044.1_MA1044.1.NAC92	MA1044.1.NAC92	PBM	Y
MA1045.1_MA1045.1.NAC043	MA1045.1.NAC043	PBM	Y
MA1046.1_MA1046.1.NTL9	MA1046.1.NTL9	DAP-seq	Y
MA1048.1_MA1048.1.ERF018	MA1048.1.ERF018	PBM	Y
MA1049.1_MA1049.1.ERF094	MA1049.1.ERF094	PBM	Y
MA1050.1_MA1050.1.OsI_08196	MA1050.1.OsI	PBM	Y
MA1051.1_MA1051.1.RAP2-3	MA1051.1.RAP2-3	PBM	Y
MA1053.1_MA1053.1.ERF109	MA1053.1.ERF109	PBM	Y
MA1054.1_MA1054.1.ARALYDRAFT_897773	MA1054.1.ARALYDRAFT	PBM	Y
MA1056.1_MA1056.1.SPL11	MA1056.1.SPL11	PBM	Y
MA1057.1_MA1057.1.SPL12	MA1057.1.SPL12	PBM	Y
MA1058.1_MA1058.1.SPL4	MA1058.1.SPL4	PBM	Y
MA1060.1_MA1060.1.SPL7	MA1060.1.SPL7	PBM	Y
MA1061.1_MA1061.1.SPT	MA1061.1.SPT	PBM	Y
MA1063.1_MA1063.1.TCP19	MA1063.1.TCP19	PBM	Y
MA1064.1_MA1064.1.TCP2	MA1064.1.TCP2	PBM	Y
MA1066.1_MA1066.1.TCP23	MA1066.1.TCP23	PBM	Y
MA1067.1_MA1067.1.TCP5	MA1067.1.TCP5	PBM	Y
MA1071.1_MA1071.1.DOF5.3	MA1071.1.DOF5.3	PBM	Y
MA1074.1_MA1074.1.UNE10	MA1074.1.UNE10	PBM	Y
MA1075.1_MA1075.1.WRKY12	MA1075.1.WRKY12	PBM	Y
MA1077.1_MA1077.1.WRKY18	MA1077.1.WRKY18	PBM	Y
MA1078.1_MA1078.1.WRKY2	MA1078.1.WRKY2	PBM	Y
MA1080.1_MA1080.1.WRKY23	MA1080.1.WRKY23	PBM	Y
MA1084.1_MA1084.1.WRKY38	MA1084.1.WRKY38	PBM	Y
MA1086.1_MA1086.1.WRKY43	MA1086.1.WRKY43	PBM	Y
