Motif	Factor	Evidence	Curated
MA0004.1_MA0004.1.Arnt	MA0004.1.Arnt	SELEX	Y
MA0006.1_MA0006.1.Ahr::Arnt	MA0006.1.Ahr	SELEX	Y
MA0006.1_MA0006.1.Ahr::Arnt	Arnt	SELEX	Y
MA0019.1_MA0019.1.Ddit3::Cebpa	MA0019.1.Ddit3	SELEX	Y
MA0019.1_MA0019.1.Ddit3::Cebpa	Cebpa	SELEX	Y
MA0029.1_MA0029.1.Mecom	MA0029.1.Mecom	SELEX	Y
MA0030.1_MA0030.1.FOXF2	MA0030.1.FOXF2	SELEX	Y
MA0031.1_MA0031.1.FOXD1	MA0031.1.FOXD1	SELEX	Y
MA0040.1_MA0040.1.Foxq1	MA0040.1.Foxq1	SELEX	Y
MA0051.1_MA0051.1.IRF2	MA0051.1.IRF2	SELEX	Y
MA0059.1_MA0059.1.MAX::MYC	MA0059.1.MAX	SELEX	Y
MA0059.1_MA0059.1.MAX::MYC	MYC	SELEX	Y
MA0066.1_MA0066.1.PPARG	MA0066.1.PPARG	SELEX	Y
MA0069.1_MA0069.1.PAX6	MA0069.1.PAX6	SELEX	Y
MA0070.1_MA0070.1.PBX1	MA0070.1.PBX1	SELEX	Y
MA0071.1_MA0071.1.RORA	MA0071.1.RORA	SELEX	Y
MA0072.1_MA0072.1.RORA	MA0072.1.RORA	SELEX	Y
MA0073.1_MA0073.1.RREB1	MA0073.1.RREB1	SELEX	Y
MA0074.1_MA0074.1.RXRA::VDR	MA0074.1.RXRA	SELEX	Y
MA0074.1_MA0074.1.RXRA::VDR	VDR	SELEX	Y
MA0077.1_MA0077.1.SOX9	MA0077.1.SOX9	SELEX	Y
MA0084.1_MA0084.1.SRY	MA0084.1.SRY	SELEX	Y
MA0091.1_MA0091.1.TAL1::TCF3	MA0091.1.TAL1	SELEX	Y
MA0091.1_MA0091.1.TAL1::TCF3	TCF3	SELEX	Y
MA0092.1_MA0092.1.Hand1::Tcf3	MA0092.1.Hand1	SELEX	Y
MA0092.1_MA0092.1.Hand1::Tcf3	Tcf3	SELEX	Y
MA0101.1_MA0101.1.REL	MA0101.1.REL	SELEX	Y
MA0107.1_MA0107.1.RELA	MA0107.1.RELA	SELEX	Y
MA0108.2_MA0108.2.TBP	MA0108.2.TBP		Y
MA0111.1_MA0111.1.Spz1	MA0111.1.Spz1	SELEX	Y
MA0115.1_MA0115.1.NR1H2::RXRA	MA0115.1.NR1H2	SELEX	Y
MA0115.1_MA0115.1.NR1H2::RXRA	RXRA	SELEX	Y
MA0116.1_MA0116.1.Znf423	MA0116.1.Znf423	SELEX	Y
MA0119.1_MA0119.1.NFIC::TLX1	MA0119.1.NFIC	SELEX	Y
MA0119.1_MA0119.1.NFIC::TLX1	TLX1	SELEX	Y
MA0125.1_MA0125.1.Nobox	MA0125.1.Nobox	SELEX	Y
MA0130.1_MA0130.1.ZNF354C	MA0130.1.ZNF354C	SELEX	Y
MA0135.1_MA0135.1.Lhx3	MA0135.1.Lhx3	SELEX	Y
MA0139.1_MA0139.1.CTCF	MA0139.1.CTCF	ChIP-seq	Y
MA0142.1_MA0142.1.Pou5f1::Sox2	MA0142.1.Pou5f1	ChIP-seq	Y
MA0142.1_MA0142.1.Pou5f1::Sox2	Sox2	ChIP-seq	Y
MA0149.1_MA0149.1.EWSR1-FLI1	MA0149.1.EWSR1-FLI1	ChIP-seq	Y
MA0138.2_MA0138.2.REST	MA0138.2.REST	ChIP-seq	Y
MA0002.2_MA0002.2.Runx1	MA0002.2.Runx1	ChIP-seq	Y
MA0065.2_MA0065.2.Pparg::Rxra	MA0065.2.Pparg	ChIP-seq	Y
MA0065.2_MA0065.2.Pparg::Rxra	Rxra	ChIP-seq	Y
MA0151.1_MA0151.1.Arid3a	MA0151.1.Arid3a	SELEX	Y
MA0155.1_MA0155.1.INSM1	MA0155.1.INSM1	COMPILED	Y
MA0159.1_MA0159.1.RARA::RXRA	MA0159.1.RARA	COMPILED	Y
MA0159.1_MA0159.1.RARA::RXRA	RXRA	COMPILED	Y
MA0163.1_MA0163.1.PLAG1	MA0163.1.PLAG1	bacterial 1-hybrid	Y
MA0164.1_MA0164.1.Nr2e3	MA0164.1.Nr2e3	SELEX	Y
MA0259.1_MA0259.1.ARNT::HIF1A	MA0259.1.ARNT	COMPILED	Y
MA0259.1_MA0259.1.ARNT::HIF1A	HIF1A	COMPILED	Y
MA0145.2_MA0145.2.Tfcp2l1	MA0145.2.Tfcp2l1	ChIP-seq	Y
MA0146.2_MA0146.2.Zfx	MA0146.2.Zfx	ChIP-seq	Y
MA0468.1_MA0468.1.DUX4	MA0468.1.DUX4	ChIP-seq	Y
MA0476.1_MA0476.1.FOS	MA0476.1.FOS	ChIP-seq	Y
MA0478.1_MA0478.1.FOSL2	MA0478.1.FOSL2	ChIP-seq	Y
MA0479.1_MA0479.1.FOXH1	MA0479.1.FOXH1	ChIP-seq	Y
MA0483.1_MA0483.1.Gfi1B	MA0483.1.Gfi1B	ChIP-seq	Y
MA0488.1_MA0488.1.JUN	MA0488.1.JUN	ChIP-seq	Y
MA0492.1_MA0492.1.JUND	MA0492.1.JUND	ChIP-seq	Y
MA0494.1_MA0494.1.Nr1h3::Rxra	MA0494.1.Nr1h3	ChIP-seq	Y
MA0494.1_MA0494.1.Nr1h3::Rxra	Rxra	ChIP-seq	Y
MA0497.1_MA0497.1.MEF2C	MA0497.1.MEF2C	ChIP-seq	Y
MA0501.1_MA0501.1.MAF::NFE2	MA0501.1.MAF	ChIP-seq	Y
MA0501.1_MA0501.1.MAF::NFE2	NFE2	ChIP-seq	Y
MA0504.1_MA0504.1.NR2C2	MA0504.1.NR2C2	ChIP-seq	Y
MA0515.1_MA0515.1.Sox6	MA0515.1.Sox6	ChIP-seq	Y
MA0517.1_MA0517.1.STAT1::STAT2	MA0517.1.STAT1	ChIP-seq	Y
MA0517.1_MA0517.1.STAT1::STAT2	STAT2	ChIP-seq	Y
MA0518.1_MA0518.1.Stat4	MA0518.1.Stat4	ChIP-seq	Y
MA0519.1_MA0519.1.Stat5a::Stat5b	MA0519.1.Stat5a	ChIP-seq	Y
MA0519.1_MA0519.1.Stat5a::Stat5b	Stat5b	ChIP-seq	Y
MA0520.1_MA0520.1.Stat6	MA0520.1.Stat6	ChIP-seq	Y
MA0523.1_MA0523.1.TCF7L2	MA0523.1.TCF7L2	ChIP-seq	Y
MA0527.1_MA0527.1.ZBTB33	MA0527.1.ZBTB33	ChIP-seq	Y
MA0076.2_MA0076.2.ELK4	MA0076.2.ELK4	ChIP-seq	Y
MA0258.2_MA0258.2.ESR2	MA0258.2.ESR2	ChIP-seq	Y
MA0150.2_MA0150.2.Nfe2l2	MA0150.2.Nfe2l2	ChIP-seq	Y
MA0137.3_MA0137.3.STAT1	MA0137.3.STAT1	ChIP-seq	Y
MA0144.2_MA0144.2.STAT3	MA0144.2.STAT3	ChIP-seq	Y
MA0140.2_MA0140.2.GATA1::TAL1	MA0140.2.GATA1	ChIP-seq	Y
MA0140.2_MA0140.2.GATA1::TAL1	TAL1	ChIP-seq	Y
MA0591.1_MA0591.1.Bach1::Mafk	MA0591.1.Bach1	ChIP-seq	Y
MA0591.1_MA0591.1.Bach1::Mafk	Mafk	ChIP-seq	Y
MA0593.1_MA0593.1.FOXP2	MA0593.1.FOXP2	ChIP-seq	Y
MA0595.1_MA0595.1.SREBF1	MA0595.1.SREBF1	ChIP-seq	Y
MA0596.1_MA0596.1.SREBF2	MA0596.1.SREBF2	ChIP-seq	Y
MA0599.1_MA0599.1.KLF5	MA0599.1.KLF5	ChIP-seq	Y
MA0601.1_MA0601.1.Arid3b	MA0601.1.Arid3b	PBM	Y
MA0602.1_MA0602.1.Arid5a	MA0602.1.Arid5a	PBM	Y
MA0603.1_MA0603.1.Arntl	MA0603.1.Arntl	PBM	Y
MA0604.1_MA0604.1.Atf1	MA0604.1.Atf1	PBM	Y
MA0608.1_MA0608.1.Creb3l2	MA0608.1.Creb3l2	PBM	Y
MA0610.1_MA0610.1.DMRT3	MA0610.1.DMRT3	PBM	Y
MA0613.1_MA0613.1.FOXG1	MA0613.1.FOXG1	PBM	Y
MA0614.1_MA0614.1.Foxj2	MA0614.1.Foxj2	PBM	Y
MA0615.1_MA0615.1.Gmeb1	MA0615.1.Gmeb1	PBM	Y
MA0618.1_MA0618.1.LBX1	MA0618.1.LBX1	PBM	Y
MA0619.1_MA0619.1.LIN54	MA0619.1.LIN54	PBM	Y
MA0621.1_MA0621.1.mix-a	MA0621.1.mix-a	PBM	Y
MA0622.1_MA0622.1.Mlxip	MA0622.1.Mlxip	PBM	Y
MA0626.1_MA0626.1.Npas2	MA0626.1.Npas2	PBM	Y
MA0628.1_MA0628.1.POU6F1	MA0628.1.POU6F1	PBM	Y
MA0629.1_MA0629.1.Rhox11	MA0629.1.Rhox11	PBM	Y
MA0630.1_MA0630.1.SHOX	MA0630.1.SHOX	PBM	Y
MA0631.1_MA0631.1.Six3	MA0631.1.Six3	PBM	Y
MA0634.1_MA0634.1.ALX3	MA0634.1.ALX3	HT-SELEX	Y
MA0007.3_MA0007.3.Ar	MA0007.3.Ar	HT-SELEX	Y
MA0635.1_MA0635.1.BARHL2	MA0635.1.BARHL2	HT-SELEX	Y
MA0636.1_MA0636.1.BHLHE41	MA0636.1.BHLHE41	HT-SELEX	Y
MA0638.1_MA0638.1.CREB3	MA0638.1.CREB3	HT-SELEX	Y
MA0639.1_MA0639.1.DBP	MA0639.1.DBP	HT-SELEX	Y
MA0641.1_MA0641.1.ELF4	MA0641.1.ELF4	HT-SELEX	Y
MA0027.2_MA0027.2.EN1	MA0027.2.EN1	HT-SELEX	Y
MA0643.1_MA0643.1.Esrrg	MA0643.1.Esrrg	HT-SELEX	Y
MA0645.1_MA0645.1.ETV6	MA0645.1.ETV6	HT-SELEX	Y
