Motif	Factor	Evidence	Curated
AHR_HUMAN.H11MO.0.B	AHR	ChIP-seq	Y
AIRE_HUMAN.H11MO.0.C	AIRE	ChIP-seq	Y
ALX1_HUMAN.H11MO.0.B	ALX1	ChIP-seq	Y
ANDR_HUMAN.H11MO.0.A	AR	ChIP-seq	Y
AP2A_HUMAN.H11MO.0.A	TFAP2A	ChIP-seq	Y
AP2B_HUMAN.H11MO.0.B	TFAP2B	ChIP-seq	Y
AP2C_HUMAN.H11MO.0.A	TFAP2C	ChIP-seq	Y
ARI5B_HUMAN.H11MO.0.C	ARID5B	ChIP-seq	Y
ARNT_HUMAN.H11MO.0.B	ARNT	ChIP-seq	Y
ASCL1_HUMAN.H11MO.0.A	ASCL1	ChIP-seq	Y
ATF1_HUMAN.H11MO.0.B	ATF1	ChIP-seq	Y
ATF2_HUMAN.H11MO.0.B	ATF2	ChIP-seq	Y
ATF3_HUMAN.H11MO.0.A	ATF3	ChIP-seq	Y
ATF4_HUMAN.H11MO.0.A	ATF4	ChIP-seq	Y
ATF6A_HUMAN.H11MO.0.B	ATF6	ChIP-seq	Y
ATOH1_HUMAN.H11MO.0.B	ATOH1	ChIP-seq	Y
BACH1_HUMAN.H11MO.0.A	BACH1	ChIP-seq	Y
BACH2_HUMAN.H11MO.0.A	BACH2	ChIP-seq	Y
BATF3_HUMAN.H11MO.0.B	BATF3	ChIP-seq	Y
BATF_HUMAN.H11MO.0.A	BATF	ChIP-seq	Y
BC11A_HUMAN.H11MO.0.A	BCL11A	ChIP-seq	Y
BCL6_HUMAN.H11MO.0.A	BCL6	ChIP-seq	Y
BHA15_HUMAN.H11MO.0.B	BHLHA15	ChIP-seq	Y
BHE40_HUMAN.H11MO.0.A	BHLHE40	ChIP-seq	Y
BMAL1_HUMAN.H11MO.0.A	ARNTL	ChIP-seq	Y
BRAC_HUMAN.H11MO.0.A	T	ChIP-seq	Y
CDX1_HUMAN.H11MO.0.C	CDX1	ChIP-seq	Y
CDX2_HUMAN.H11MO.0.A	CDX2	ChIP-seq	Y
